Keyword,Category,Priority,Rationale,Expected_Articles
"MCP-1 IP-10 elderly inflammation",Chemokines,Medium,"MCP1 and IP10 elevated in frail. Monocyte/lymphocyte recruitment. Broadened from 'frailty chemokines MCP-1 IP-10' (0 results).",20-40
"RANTES CCL5 aging",Chemokines,Low,"RANTES and MIP1b slightly lower in frail. Chemokine signaling. Broadened from 'frailty RANTES MIP-1' (0 results).",10-20
"frailty Charlson comorbidity index",Comorbidity,High,"CCI_total is 2nd discriminating biomarker (SHAP 0.313). Multimorbidity burden.",40-80
"frailty hypertension cardiovascular",Comorbidity,Medium,"HTN shows counterintuitive protective effect. Cardiovascular-immune interface.",30-60
"frailty statin anti-inflammatory",Medication,Medium,"Statin shows protective SHAP (0.182). Pleiotropic anti-inflammatory effects.",20-40
"frailty polypharmacy medication",Medication,Medium,"Polypharmacy counterintuitively protective. Healthcare engagement marker.",15-30
"frailty Alzheimer's disease inflammation",Clinical Context,High,"Cohort includes dementia patients. AD-frailty-inflammation overlap.",30-60
"frailty diabetes metabolic inflammation",Clinical Context,Medium,"Diabetic patients in cohort. Metabolic-immune connection.",25-50
"frailty COPD systemic inflammation",Clinical Context,Medium,"COPD patients in cohort. Pulmonary-systemic inflammation link.",20-40
"frailty chronic kidney disease",Clinical Context,Medium,"CKD patients in cohort. Uremic inflammation.",15-30
"recombinant IL-7 elderly immune reconstitution",Therapeutic - IL-7,Critical,"CYT107 (recombinant IL-7) FDA-approved for sepsis lymphopenia. Frailty as new indication.",10-25
"low-dose IL-2 therapy Treg",Therapeutic - IL-2,High,"Low-dose IL-2 expands regulatory T-cells. Immune tolerance restoration.",15-30
"GM-CSF therapy neutropenia",Therapeutic - GM-CSF,Medium,"G-CSF/GM-CSF used in neutropenia. Potential frailty application.",10-20
"exercise frailty cytokines",Therapeutic - Lifestyle,High,"Physical interventions restore inflammatory biomarkers and frailty status.",30-60
"anti-inflammatory therapy frailty",Therapeutic - General,Medium,"Therapeutic strategies targeting chronic inflammation.",20-40
"frailty biomarkers meta-analysis",Methodology - Review,High,"Systematic reviews and meta-analyses of frailty biomarkers for comparison.",20-40
"frailty machine learning prediction",Methodology - ML,High,"ML studies on frailty prediction for methodological comparison.",15-30
"frailty nested cross-validation",Methodology - ML,Low,"Studies addressing repeated-measures leakage in frailty ML.",5-10
"SHAP explainable AI frailty",Methodology - XAI,Low,"XAI applications in frailty prediction models.",5-10
"frailty flow cytometry immune phenotyping",Methodology - Immunology,Medium,"Immune cell profiling in frailty. Validation approach for cytokine findings.",10-20
"frailty senescent T-cells CD28",Mechanism - Immunosenescence,High,"CD8+CD28- senescent T-cell accumulation in frailty.",15-30
"frailty thymic involution T-cell",Mechanism - Immunosenescence,Medium,"Thymic output decline as mechanism for IL-7/IL-2 findings.",10-20
"inflammasome activation frailty",Mechanism - Inflammaging,Medium,"NLRP3 inflammasome as driver of IL-1β/IL-18 elevation.",15-30
"cytokine storm elderly",Mechanism - Acute Inflammation,Low,"Acute vs chronic inflammation in frailty. Broadened from 'frailty cytokine storm sepsis' (0 results).",10-20
"frailty mitochondrial dysfunction inflammation",Mechanism - Cellular,Medium,"Mitochondrial DAMP release as inflammaging driver.",10-20
"autophagy aging immune senescence",Mechanism - Cellular,Low,"Autophagy decline and immune cell senescence. Broadened from 'frailty autophagy immunosenescence' (0 results).",10-20
"precision medicine elderly immunophenotyping",Clinical Application,Medium,"Stratification of frail patients by immune phenotype for targeted interventions. Broadened from 'frailty precision medicine immune subtypes' (0 results).",10-20
"frailty screening biomarker panel",Clinical Application,High,"Clinical validation of cytokine-based frailty screening.",15-30
"frailty intervention trial cytokines",Clinical Application,Medium,"Intervention studies measuring cytokine changes with frailty improvement.",15-30
"frailty longitudinal cytokine trajectory",Study Design,High,"Prospective studies of cytokine changes preceding frailty onset.",10-20
"frailty cross-sectional cytokines",Study Design,High,"Cross-sectional studies for comparison with current design.",30-60
"frailty sample size power analysis cytokines",Study Design,Low,"Statistical power considerations for frailty biomarker studies.",5-10
